t,mRNA_R,A,R,PrmA,PrmR,C,PrmA_bound,PrmR_bound,mRNA_A_
3.15000000000000000E+01,2.48444282417184560E-02,2.53078328940871788E-01,2.24855201073463889E-03,9.77018726560722193E-05,1.56824236956184669E-04,5.63405283779359944E-01,2.98722560648150915E-04,2.39600196348039251E-04,1.56082079448144288E-02
3.20000000000000000E+01,2.42317253546379882E-02,1.66719369996196798E-01,3.68009423722544683E-03,1.31132371121443937E-04,1.97256454488714251E-04,6.23210516277925120E-01,2.65292062182779305E-04,1.99167978815509669E-04,1.42972384445033893E-02
3.25000000000000000E+01,2.23627867519310339E-02,5.62549065501923018E-02,1.09047548986627649E-02,2.31451975965790230E-04,2.93627511451641536E-04,6.74022458270477021E-01,1.64972457338433012E-04,1.02796921852582222E-04,1.07568563662053598E-02
3.30000000000000000E+01,1.80442488730361596E-02,6.22937972822283615E-04,1.73905116801950477E-01,3.93138833624921008E-04,3.94867875812316413E-04,5.54940805114597424E-01,3.28559967930209910E-06,1.55655749190724927E-06,2.56410558291998714E-03
3.35000000000000000E+01,1.40728530583332772E-02,2.34122558994522592E-04,3.62131694282604166E-01,3.95290503672301584E-04,3.95861631828742493E-04,3.78977294605057302E-01,1.13392963192166595E-06,5.62801475481047892E-07,2.04314858461448947E-03
3.40000000000000000E+01,1.09723919921643973E-02,1.82031468218239956E-04,4.60769236854803865E-01,3.95551878997833350E-04,3.95989037277528089E-04,2.69745217513051194E-01,8.72554306389987698E-07,4.35396026695352671E-07,2.02298845187926651E-03
3.45000000000000000E+01,8.55616557757040049E-03,1.66340649415802611E-04,5.02959651357293702E-01,3.95630263935680174E-04,3.96027347048678337E-04,2.03293692835353673E-01,7.94169368543042041E-07,3.97086255545040964E-07,2.01833390625192309E-03
3.50000000000000000E+01,6.67396336410319702E-03,1.63501826857081534E-04,5.11332070386083970E-01,3.95645450278562019E-04,3.96034528346455802E-04,1.62933309896102912E-01,7.78983025661257465E-07,3.89904957767697617E-07,2.01720592465407791E-03
3.55000000000000000E+01,5.20814245250995379E-03,1.67256313595074590E-04,4.99912096011578433E-01,3.95628579023563282E-04,3.96025827518430940E-04,1.38444861562904253E-01,7.95854280659849820E-07,3.98605785792530245E-07,2.01771983096703808E-03
3.60000000000000000E+01,4.06687647215935554E-03,1.75265469972194269E-04,4.77353729577252972E-01,3.95591188139612221E-04,3.96006918838306293E-04,1.23607532426060943E-01,8.33245164610844646E-07,4.17514465917188803E-07,2.01923588296607686E-03
