time,T,E,I
615.0,0.2661386920316628,186002.47007059047,2.5263138972341737
615.2,0.24570074826844787,184889.79785873083,2.3175257818370225
615.4000000000001,0.22698964523958184,183783.78161265608,2.127471261639834
615.6,0.2098480408845625,182684.3815227157,1.9543525544546483
615.8000000000001,0.19413386815898623,181591.55801680553,1.7965546046281677
616.0,0.17971876822057298,180505.27175900247,1.652625566893208
616.2,0.1664866926302197,179425.48364820788,1.521259451068875
616.4000000000001,0.15433265503561347,178352.1548167845,1.4012806933505326
616.6,0.1431616156381046,177285.24662920594,1.2916304452720726
616.8000000000001,0.13288748393364017,176224.720680704,1.1913543722633597
617.0,0.12343222669319674,175170.53879592038,1.0995917826882173
617.2,0.11472506945670108,174122.66302756913,1.0155659422754943
617.4000000000001,0.1067017812075417,173081.05565509477,0.9385754417089107
617.6,0.09930403319381942,172045.6791833452,0.867986493402649
617.8000000000001,0.09247882390271431,171016.49634124385,0.8032260517965578
618.0,0.08617796304095589,169993.47008046755,0.7437756685717191
618.2,0.08035760815311169,168976.56357413655,0.6891660017364627
618.4000000000001,0.07497784824470023,167965.74021550154,0.6389719037046955
618.6,0.07000232942591653,166960.96361664584,0.5928080238959791
618.8000000000001,0.06539791821551989,165962.19760718828,0.5503248719026236
619.0,0.06113439822265942,164969.40623299184,0.5112052876351385
619.2,0.05718419714283007,163982.55375488583,0.47516127869168095
619.4000000000001,0.05352214080019648,163001.6046473851,0.4419311834430439
619.6,0.050125231165659576,162026.52359742494,0.41127712199934247
619.8000000000001,0.04697244613091057,161057.2755030968,0.3829827076957929
620.0,0.04404455874023042,160093.82547239115,0.35685099028204936
620.2,0.041323973893722894,159136.13882195257,0.3327026060150053
620.4000000000001,0.03879458074893151,158184.1810758332,0.3103741130018185
620.6,0.036441619236199596,157237.91796426178,0.2897164925325437
620.8000000000001,0.03425155926960482,156297.31542241346,0.2705937990021526
621.0,0.03221199138402977,155362.33958918715,0.25288194289237864
621.2,0.030311527661956772,154432.9568059948,0.2364675931079917
621.4000000000001,0.028539711932039975,153509.1336155495,0.22124718645936822
621.6,0.026886938326876414,152590.83676066858,0.20712603331101384
621.8000000000001,0.025344377381193064,151678.0331830783,0.19401750957238312
622.0,0.02390390893565145,150770.6900222253,0.18184232629843686
622.2,0.022558061186528887,149868.77461410014,0.17052786910025747
622.4000000000001,0.02129995530555862,148972.25449006012,0.16000759895516686
622.6,0.020123255750124545,148081.09737566678,0.15022051406921993
622.8000000000001,0.019022123437606547,147195.27118952497,0.14111067457476095
623.0,0.017991176700091857,146314.74404213074,0.13262675435110532
623.2,0.017025443407573015,145439.48423471465,0.12472153247400994
623.4000000000001,0.016120338419418404,144569.46025811607,0.11735169023580433
623.6,0.015271628004083824,143704.64079164885,0.11047740814870662
623.8000000000001,0.014475396928884061,142844.994701964,0.10406202968440201
624.0,0.01372803060140714,141990.49104194608,0.09807187327913484
624.2,0.01302618542604961,141141.09904959466,0.09247592263410383
624.4000000000001,0.012366765755627049,140296.78814690793,0.08724558825337074
624.6,0.011746906242904026,139457.52793879563,0.08235453131676695
624.8000000000001,0.01116395347764958,138623.2882119832,0.07777847356094057
625.0,0.010615446675256475,137794.03893391456,0.07349499875856368
625.2,0.01009910580326429,136969.75025168617,0.0694834327531089
625.4000000000001,0.00961281635710375,136150.39249096718,0.0657246890891951
625.6,0.009154615257503586,135335.93615492812,0.06220112653849563
625.8000000000001,0.00872268019664665,134526.35192318496,0.058896443251353583
626.0,0.008315318833681336,133721.61065074356,0.05579556815333026
626.2,0.007930957857776831,132921.6833669476,0.05288455131947634
626.4000000000001,0.0075681345012152314,132126.54127443643,0.050150480151814864
626.6,0.0072254886853361285,131336.15574811542,0.04758140270023767
626.8000000000001,0.0069017544603915465,130550.49833411873,0.045166242987922996
627.0,0.006595753056671042,129769.54074878427,0.04289473329699274
627.2,0.006306386944386505,128993.2548776451,0.04075735600609636
627.4000000000001,0.006032633354939718,128221.61277440941,0.038745280279455084
627.6,0.005773538390370504,127454.58665995386,0.03685030488559329
627.8000000000001,0.0055282128458251315,126692.14892133199,0.035064818715616654
628.0,0.005295827067043727,125934.27211077517,0.033381751310397736
628.2,0.005075606202856084,125180.92894470009,0.03179452719240583
628.4000000000001,0.004866827033218534,124432.0923027359,0.030297036149638284
628.6,0.0046688139067988235,123687.73522674614,0.028883594200927287
628.8000000000001,0.004480935023610359,122947.83091984998,0.027548908475627333
629.0,0.004302599869658307,122212.35274546767,0.026288053330578532
629.2,0.004133256105436924,121481.27422636109,0.025096441254812547
629.4000000000001,0.003972386624813396,120754.56904367049,0.023969795170186523
629.6,0.003819507473564021,120032.21103597945,0.02290412941737892
629.8000000000001,0.0036741654409482693,119314.17419836995,0.021895727214243408
630.0,0.0035359357412261517,118600.43268147847,0.02094111925580601
630.2,0.003404420287913114,117890.96079057574,0.020037067934849242
630.4000000000001,0.003279245851365034,117185.7329846383,0.019180550533141744
630.6,0.0031600622189238282,116484.72387542596,0.01836874231963875
