time,FeDuo
1513.0,2.363859742070372e-10
1530.0,2.226174080540954e-10
1547.0,2.097610487045061e-10
1564.0,1.978393098899283e-10
1581.0,1.8688235489562387e-10
1598.0,1.764353954317907e-10
1615.0,1.6591811309531424e-10
1632.0,1.559792990326527e-10
1649.0,1.4660484019321584e-10
1666.0,1.3778405993467486e-10
1683.0,1.2950971802296282e-10
1700.0,1.217780106322745e-10
1717.0,1.1458857034506624e-10
1734.0,1.0794446615205623e-10
1751.0,1.0185220345222427e-10
1768.0,9.632043441265045e-11
1785.0,9.064984664666306e-11
1802.0,8.53234599644703e-11
1819.0,8.032472807792424e-11
1836.0,7.563838572176207e-11
1853.0,7.125044865360613e-11
1870.0,6.714821365396383e-11
1887.0,6.332025852622775e-11
1904.0,5.975644209667562e-11
1921.0,5.644790421447027e-11
1938.0,5.338706575165969e-11
1955.0,5.046850704362863e-11
1972.0,4.7680136567835895e-11
1989.0,4.5060221904449385e-11
2006.0,4.259725294723346e-11
2023.0,4.028048880092466e-11
2040.0,3.809995778123177e-11
2057.0,3.604645741483576e-11
2074.0,3.411155443938983e-11
2091.0,3.228758480351941e-11
2108.0,3.05676536668221e-11
2125.0,2.8941392927241247e-11
2142.0,2.7390417829462704e-11
2159.0,2.5920261733330957e-11
2176.0,2.4526066072312235e-11
2193.0,2.3203681384313606e-11
2210.0,2.1949667311682958e-11
2227.0,2.0761292601209022e-11
2244.0,1.9636535104121362e-11
2261.0,1.8574081776090368e-11
2278.0,1.757332867722726e-11
2295.0,1.66343809720841e-11
2312.0,1.5583883084025535e-11
2329.0,1.4519383338319339e-11
2346.0,1.3463410854614197e-11
2363.0,1.2414928956860727e-11
2380.0,1.13737117590208e-11
2397.0,1.0340344165067518e-11
2414.0,9.316221868985247e-12
2431.0,8.303551354769604e-12
2448.0,7.30534989642743e-12
2465.0,6.3254455579768315e-12
2482.0,5.368477193447148e-12
2499.0,4.43989444687898e-12
2516.0,3.545957752324162e-12
2533.0,2.6937383338457867e-12
2550.0,1.8911182055181815e-12
2567.0,1.1467901714269312e-12
2584.0,4.702578256688602e-13
2601.0,-1.2816444764795613e-13
2618.0,-6.373514744041995e-13
2635.0,-1.0453672904693016e-12
2652.0,-1.3394651417014492e-12
2669.0,-1.5060874839475818e-12
2686.0,-1.5308659830433926e-12
2703.0,-2.287792879043565e-12
2720.0,-3.256998129022883e-12
2737.0,-4.2306423810507595e-12
2754.0,-5.204104790523183e-12
2771.0,-6.1722518796172236e-12
2788.0,-7.129437537291001e-12
2805.0,-8.069503019283732e-12
2822.0,-8.985776948115705e-12
2839.0,-9.871075313088273e-12
2856.0,-1.071770147028388e-11
2873.0,-1.151744614256604e-11
2890.0,-1.2261587419579335e-11
2907.0,-1.2940890757749432e-11
2924.0,-1.354560898028307e-11
2941.0,-1.4065482277168068e-11
2958.0,-1.4489738205173308e-11
2975.0,-1.4807091687848762e-11
2992.0,-1.500574501552547e-11
3009.0,-1.507338784531555e-11
3026.0,-1.499719720111219e-11
3043.0,-1.4763837473589662e-11
3060.0,-1.4359460420203313e-11
3077.0,-1.3769705165189555e-11
3094.0,-1.3903113128750072e-11
3111.0,-1.4318066703486262e-11
3128.0,-1.4712440537673828e-11
3145.0,-1.508396885453824e-11
3162.0,-1.5430257308725058e-11
3179.0,-1.5748782986299946e-11
3196.0,-1.6036894404748664e-11
3213.0,-1.629181151297706e-11
3230.0,-1.6510625691311077e-11
3247.0,-1.6690299751496773e-11
3264.0,-1.6827667936700278e-11
3281.0,-1.6919435921507835e-11
3298.0,-1.696218081192577e-11
3315.0,-1.6952351145380512e-11
3332.0,-1.6886266890718584e-11
3349.0,-1.6760119448206606e-11
3366.0,-1.656997164953129e-11
3383.0,-1.6311757757799452e-11
3400.0,-1.5981283467537998e-11
3417.0,-1.5574225904693928e-11
3434.0,-1.508613362663434e-11
3451.0,-1.4512426622146432e-11
3468.0,-1.3848396311437489e-11
3485.0,-1.3452329188117652e-11
3502.0,-1.3199380099939547e-11
3519.0,-1.293168319092387e-11
3536.0,-1.265009667984202e-11
3553.0,-1.2355515596485912e-11
3570.0,-1.2048871781667976e-11
3587.0,-1.1731133887221148e-11
3604.0,-1.1403307375998896e-11
3621.0,-1.1066434521875184e-11
3638.0,-1.0721594409744498e-11
3655.0,-1.0369902935521838e-11
3672.0,-1.0012512806142712e-11
3689.0,-9.65061353956315e-12
3706.0,-9.28543146475969e-12
3723.0,-8.918229721729383e-12
3740.0,-8.550308261489798e-12
3757.0,-8.183003846079017e-12
3774.0,-7.817690048555634e-12
3791.0,-7.455777252998755e-12
3808.0,-7.098712654508004e-12
3825.0,-6.747980259203518e-12
3842.0,-6.4051008842259456e-12
3859.0,-6.071632157736451e-12
3876.0,-5.713130646110867e-12
3893.0,-5.33745372846829e-12
3910.0,-4.966209173683681e-12
3927.0,-4.6004367233226884e-12
3944.0,-4.241194811161865e-12
3961.0,-3.889560563188672e-12
3978.0,-3.546629797601474e-12
3995.0,-3.213517024809546e-12
4012.0,-2.8913554474330692e-12
4029.0,-2.5812969603031264e-12
4046.0,-2.2845121504617134e-12
4063.0,-2.0021902971617278e-12
4080.0,-1.735539371866977e-12
4097.0,-1.485786038252173e-12
4114.0,-1.2541756522029346e-12
4131.0,-1.0419722618157877e-12
4148.0,-8.504586073981647e-13
4165.0,-6.809361214684036e-13
4182.0,-5.347249287557502e-13
4199.0,-4.1316384620035624e-13
4216.0,-3.176103829532798e-13
4233.0,-2.4944074037648586e-13
4250.0,-2.1004981204284578e-13
4267.0,-1.2533330631762126e-13
4284.0,4.7141055921735654e-15
4301.0,1.2465452983157391e-13
4318.0,2.345695270828262e-13
4335.0,3.3456429297405813e-13
4352.0,4.2476765807927734e-13
4369.0,5.053320879183728e-13
4386.0,5.764336829571141e-13
4403.0,6.382721786071517e-13
4420.0,6.910709452260174e-13
4437.0,7.350769881171232e-13
4454.0,7.705609475297627e-13
4471.0,7.978170986591094e-13
4488.0,8.171633516462185e-13
4505.0,8.289412515780256e-13
4522.0,8.335159784873474e-13
4539.0,8.312763473528813e-13
4556.0,8.226348080992056e-13
4573.0,8.080274455967796e-13
4590.0,7.879139796619434e-13
4607.0,7.627777650569179e-13
4624.0,7.331257914898045e-13
4641.0,6.994886836145864e-13
4658.0,6.579091590428646e-13
4675.0,6.07801228798475e-13
4692.0,5.53899845205689e-13
4709.0,4.967257803104225e-13
4726.0,4.3682058787280454e-13
4743.0,3.7474660336717964e-13
4760.0,3.110869439821063e-13
4777.0,2.4644550862035794e-13
4794.0,1.8144697789892188e-13
4811.0,1.1673681414900062e-13
4828.0,5.298126141601034e-14
4845.0,-9.132654540418257e-15
4862.0,-6.889712624643918e-14
4879.0,-1.2558356451399296e-13
4896.0,-1.7844259844080504e-13
4913.0,-2.2670407541038676e-13
4930.0,-2.6957706109203487e-13
4947.0,-3.062498394408316e-13
4964.0,-3.358899126976449e-13
4981.0,-3.576440013891281e-13
4998.0,-3.7063804432772013e-13
5015.0,-3.7397719861164544e-13
5032.0,-3.667458396249141e-13
5049.0,-4.1849297065800716e-13
5066.0,-5.639217991979348e-13
5083.0,-7.168331223450653e-13
5100.0,-8.769719639650281e-13
