t,FeDuo,FeDuo_0,FeRBC,FeRBC_0,FeSpleen,FeSpleen_0,FeLiver,FeLiver_0,Fe2Tf,NTBI,Tf,Fe1Tf,Hepcidin,Fe2Tf_0,Fe1Tf_0,NTBI_0,Fe2Tf_,FeRest,FeOutside,FeRest_0,FeBM,FeBM_0
1.34300000000000000E+03,4.24137530827522449E-10,1.17590571362359824E-02,7.15833194619917994E-08,3.79799877973038130E-02,7.38427237666989621E-09,3.94240160634300955E-03,3.42844082131748420E-09,2.00011021702679176E-03,4.39178495865315105E-11,5.40759369596456321E-14,1.58217942710038971E-05,1.51845351568566409E-11,2.30017456622936928E-08,1.35248096514565694E-05,9.35332257069506106E-06,3.33112736396840701E-08,3.56525820444419494E-17,4.96515367694496786E-10,2.55450082033095226E-07,2.86841654719252582E-04,3.03783608146239795E-03,4.94593430236610447E-09
1.36000000000000000E+03,4.01653840735628570E-10,1.17590571221256306E-02,6.77886608575529739E-08,3.79799878450580372E-02,6.99282915927416071E-09,3.94240151555205927E-03,3.24669784641092133E-09,2.00011019539284322E-03,4.15897498671883976E-11,5.12093478492677092E-14,1.58217956883591812E-05,1.43795988718363201E-11,2.30017456622936928E-08,1.35248103037260998E-05,9.35332363411005907E-06,3.33112714587165126E-08,3.19728573401999429E-17,4.70194901369607626E-10,2.55643777918051810E-07,2.86841654783310878E-04,3.03783608479694846E-03,4.68374846984285025E-09
1.37700000000000000E+03,3.80362019523670288E-10,1.17590571087648945E-02,6.41951585252723986E-08,3.79799878904467716E-02,6.62213651082161783E-09,3.94240142959533663E-03,3.07458913887643367E-09,2.00011017491472836E-03,3.93850633832785626E-11,4.84947180527708625E-14,1.58217970305167641E-05,1.36173323934425550E-11,2.30017456622936928E-08,1.35248109214929577E-05,9.35332464114149411E-06,3.33112693935875399E-08,2.86729191911402356E-17,4.45269692864239707E-10,2.55827205911320161E-07,2.86841654845136585E-04,3.03783608796619978E-03,4.43546120645505888E-09
1.39400000000000000E+03,3.60198885772531274E-10,1.17590570961139500E-02,6.07921490962481856E-08,3.79799879335866036E-02,6.27109443411206143E-09,3.94240134821544422E-03,2.91160398217025320E-09,2.00011015553069752E-03,3.72972479740302358E-11,4.59239921139055531E-14,1.58217983014670789E-05,1.28954737965743542E-11,2.30017456622936928E-08,1.35248115065820384E-05,9.35332559477920781E-06,3.33112674381431001E-08,2.57135696082810758E-17,4.21665779036236846E-10,2.56000910317700759E-07,2.86841654904786299E-04,3.03783609097830641E-03,4.20033574386922587E-09
1.41100000000000000E+03,3.41104607334057841E-10,1.17590570841350876E-02,5.75695344707006647E-08,3.79799879745884236E-02,5.93866124339013355E-09,3.94240127116868896E-03,2.75725873306681677E-09,2.00011013718229963E-03,3.53201082788838707E-11,4.34895416028964006E-14,1.58217995049875504E-05,1.22118810598347325E-11,2.30017456622936928E-08,1.35248120607219446E-05,9.35332649785401479E-06,3.33112655865583001E-08,2.30596562621325814E-17,3.99313117557484111E-10,2.56165406588191598E-07,2.86841654962316668E-04,3.03783609384102211E-03,3.97767437011398487E-09
1.42800000000000000E+03,3.23022523784927841E-10,1.17590570727926086E-02,5.45177518528509012E-08,3.79799880135576404E-02,5.62385047321511745E-09,3.94240119822435175E-03,2.61109538648762832E-09,2.00011011981420829E-03,3.34477773537076719E-11,4.11841424792208262E-14,1.58218006446556256E-05,1.15645257095765641E-11,2.30017456622936928E-08,1.35248125855497759E-05,9.35332735304680651E-06,3.33112638333168707E-08,2.06796549034763153E-17,3.78145379070073710E-10,2.56321182849539167E-07,2.86841655017785156E-04,3.03783609656172035E-03,3.76681635918808743E-09
1.44500000000000000E+03,3.05898978292305999E-10,1.17590570620527031E-02,5.16277453742611361E-08,3.79799880505945556E-02,5.32572795119465988E-09,3.94240112916400057E-03,2.47268021640953067E-09,2.00011010337405003E-03,3.16746992615221694E-11,3.90009536544411999E-14,1.58218017238587316E-05,1.09514868008595057E-11,2.30017456622936928E-08,1.35248130826160719E-05,9.35332816289624744E-06,3.33112621731959473E-08,1.85452949166927050E-17,3.58099750360351160E-10,2.56468701352707450E-07,2.86841655071248412E-04,3.03783609914741286E-03,3.56713601042061096E-09
1.46200000000000000E+03,2.89683158392369248E-10,1.17590570518833568E-02,4.88909392214318109E-08,3.79799880857945027E-02,5.04340902589570359E-09,3.94240106378083294E-03,2.34160248881935062E-09,2.00011008781225078E-03,2.99956125860755844E-11,3.69334966914613239E-14,1.58218027458051446E-05,1.03709452174623062E-11,2.30017456622936928E-08,1.35248135533892540E-05,9.35332892980660840E-06,3.33112606012490096E-08,1.66312235137108846E-17,3.39116747966781432E-10,2.56608399844562928E-07,2.86841655122763140E-04,3.03783610160476922E-03,3.37804079176538133E-09
1.47900000000000000E+03,2.74326945209221854E-10,1.17590570422542590E-02,4.62992121879141647E-08,3.79799881192481592E-02,4.77605594170643127E-09,3.94240100187905583E-03,2.21747324289565922E-09,2.00011007308188585E-03,2.84055348193526719E-11,3.49756365799678456E-14,1.58218037135329820E-05,9.82117827403749839E-12,2.30017456622936928E-08,1.35248139992600418E-05,9.35332965605471736E-06,3.33112591127921574E-08,1.49147045815240705E-17,3.21140041668531306E-10,2.56740692866846137E-07,2.86841655172385718E-04,3.03783610394012683E-03,3.19896958152001754E-09
1.49600000000000000E+03,2.59784770666774014E-10,1.17590570331367120E-02,4.38448735754243177E-08,3.79799881510417547E-02,4.52287535285914417E-09,3.94240094327330103E-03,2.09992413680087129E-09,2.00011005913853287E-03,2.68997475766908438E-11,3.31215635310023609E-14,1.58218046299177615E-05,9.30055460439383783E-12,2.30017456622936928E-08,1.35248144215458782E-05,9.35333034379613425E-06,3.33112577033928607E-08,1.33753486108758734E-17,3.04116287330989770E-10,2.56865972986283731E-07,2.86841655220171929E-04,3.03783610615951513E-03,3.02939100325207084E-09
