t,Trim,Clb,Sic,PTrim,PClb,SBF,IE,Cdc20a,Cdc20,Cdh1,Swe1,Swe1M,PSwe1,PSwe1M,Mih1a,Mcm,BE,Cln,mass,BUD,flag
1.30000000000000004E+00,6.84107624197484443E-02,7.38494049653193687E-04,1.18315797398830996E-01,1.46509465955882131E-04,7.35594401361815644E-07,3.82642461611779824E-02,4.77629927532642773E-01,1.56902329273760888E+00,7.33835833759955536E-01,9.99922428014867193E-01,1.04178569044831976E-03,3.05503541104588279E-02,7.90552800709591759E-06,1.85434771009513314E-04,5.15058264943987321E-01,7.88410489931514302E-01,6.68736157608665165E-03,5.19376877018169342E-02,8.07480139789894302E-01,0.00000000000000000E+00,0.00000000000000000E+00
1.40000000000000013E+00,6.22221102044175564E-02,6.19279824889087623E-04,1.33283418342122956E-01,1.45444413801769324E-04,6.36382881742698188E-07,3.87127365873710244E-02,4.73718916784217625E-01,1.57581598982275439E+00,7.04626813830684817E-01,9.99925413445438283E-01,1.08378107604991986E-03,3.05625304001924218E-02,5.49571572083601900E-06,1.20407422517506037E-04,4.90093976729910064E-01,7.75157931556293978E-01,7.13693870288236668E-03,5.18039793182603764E-02,8.07883980811631375E-01,0.00000000000000000E+00,0.00000000000000000E+00
1.50000000000000000E+00,5.66831607298455623E-02,5.31848302243933461E-04,1.47554939894775083E-01,1.43575974620058439E-04,5.60608930207034729E-07,3.90522080165077237E-02,4.69807573876199092E-01,1.58214967947433083E+00,6.76099847470378768E-01,9.99927680951125830E-01,1.12486610658592474E-03,3.05484325843982350E-02,4.01343311988549666E-06,8.19609270180695070E-05,4.65335932934101026E-01,7.61925037386412485E-01,7.58073896994989737E-03,5.16754842083042634E-02,8.08288023804367928E-01,0.00000000000000000E+00,0.00000000000000000E+00
1.60000000000000009E+00,5.17305976936046283E-02,4.64990690261987520E-04,1.61192891583164383E-01,1.41056781687490154E-04,4.99880429852198387E-07,3.93184852123240960E-02,4.65896160854956054E-01,1.58802879664243135E+00,6.48248280386467646E-01,9.99929476949518170E-01,1.16539265789466638E-03,3.05192776139948732E-02,3.08459720943431446E-06,5.87901879245835191E-05,4.40803302883408854E-01,7.48714081361019690E-01,8.01886671152016693E-03,5.15512567949601777E-02,8.08692268869114494E-01,0.00000000000000000E+00,0.00000000000000000E+00
1.70000000000000018E+00,4.73043862144417390E-02,4.12287716169548854E-04,1.74256895554309482E-01,1.38021705255774867E-04,4.49611850434846282E-07,3.95352512429001587E-02,4.61984856491557294E-01,1.59345774438871124E+00,6.21065512253741625E-01,9.99930942839714731E-01,1.20556693742332900E-03,3.04814541936167770E-02,2.48806652980882411E-06,4.44556482664037268E-05,4.16516500054945338E-01,7.35526870302906088E-01,8.45141741796028717E-03,5.14306524714772673E-02,8.09096716106932567E-01,0.00000000000000000E+00,0.00000000000000000E+00
1.80000000000000004E+00,4.33492750715842173E-02,3.69745949537150234E-04,1.86802015758235296E-01,1.34588769881116126E-04,4.07026523357371088E-07,3.97183130868738674E-02,4.58073790192377484E-01,1.59844088686605468E+00,5.94545003519597270E-01,9.99932166764638586E-01,1.24550969240735986E-03,3.04386053212582497E-02,2.09298774498097821E-06,3.52846516612977958E-05,3.92497713316516728E-01,7.22364947439382510E-01,8.87848028553738823E-03,5.13132263414641937E-02,8.09501365618933932E-01,0.00000000000000000E+00,0.00000000000000000E+00
1.90000000000000013E+00,3.98150778657498650E-02,3.34748680095849321E-04,1.98878399895868474E-01,1.30860272738304140E-04,3.70325750176071571E-07,3.98782871484637744E-02,4.54163059319195539E-01,1.60298254474550195E+00,5.68680279757644125E-01,9.99933206614543324E-01,1.28529147040452158E-03,3.03928066331920974E-02,1.82195820635886424E-06,2.91840905367460389E-05,3.68771340405646519E-01,7.09229696971658385E-01,9.30013990098941395E-03,5.11986679802438754E-02,8.09906217506280779E-01,0.00000000000000000E+00,0.00000000000000000E+00
2.00000000000000000E+00,3.66565326931936747E-02,3.05502955320574902E-04,2.10531369181974515E-01,1.26924073168652824E-04,3.38299602186952497E-07,4.00223640810943720E-02,4.50252740729006951E-01,1.60708699190616788E+00,5.43464934764824381E-01,9.99934102158689386E-01,1.32495387446727032E-03,3.03452563481251998E-02,1.62869938167244246E-06,2.49451649140128072E-05,3.45364418202195711E-01,6.96122414386656119E-01,9.71647740602044237E-03,5.10867571507750903E-02,8.10311271870186256E-01,0.00000000000000000E+00,0.00000000000000000E+00
2.10000000000000009E+00,3.38329910663876174E-02,2.80735465977920802E-04,2.21801702377430965E-01,1.22855038243571289E-04,3.10074122907219926E-07,4.01554382035121046E-02,4.46342896507387898E-01,1.61075845286774411E+00,5.18892632914532026E-01,9.99934881730705993E-01,1.36452151089315249E-03,3.02966488243241079E-02,1.48541959208432692E-06,2.18669778655916488E-05,3.22307048495580561E-01,6.83044342562938556E-01,1.01275712663800015E-02,5.09773353261124967E-02,8.10716528811913806E-01,0.00000000000000000E+00,0.00000000000000000E+00
2.20000000000000018E+00,3.13080357708521093E-02,2.59516597982530734E-04,2.32725997455943995E-01,1.18716413494449801E-04,2.85012037239921884E-07,4.02808690494512803E-02,4.42433578414766937E-01,1.61400110053073598E+00,4.94957111204119005E-01,9.99935566089890093E-01,1.40400919209241349E-03,3.02473947398932269E-02,1.37513318094007322E-06,1.95346483703726395E-05,2.99632864804032006E-01,6.69996700371764398E-01,1.05334978159109752E-02,5.08702859589013276E-02,8.11121988432778052E-01,0.00000000000000000E+00,0.00000000000000000E+00
